model,train_time,memory_usage,inference_time,cpu_utilization,accuracy,precision,recall,f1_score,roc_auc
baseline,106.70966053009033,662.5703125,0.5054671764373779,34.550000000000004,0.9939879759519038,0.9915421792618629,0.9975687921317272,0.9945463559742191,0.9935943178776726
pruned_10%,108.13352012634277,413.69140625,0.4134645462036133,31.6,0.9936843383737172,0.9940351264774108,0.9944745275721074,0.9942547784775163,0.9935974686930368
pruned_20%,98.17910432815552,457.01953125,0.5164132118225098,43.75,0.9944130685613651,0.994807203623909,0.9950270748148967,0.9949171270718232,0.994345567604267
pruned_30%,96.07620596885681,479.546875,0.6533298492431641,49.65,0.9938665209206291,0.9928398325622384,0.9960216598519174,0.9944282010260936,0.9936295950917716
pruned_40%,98.13733649253845,499.546875,0.34338974952697754,34.400000000000006,0.9938665209206291,0.9938189845474613,0.9950270748148967,0.9944226627643713,0.9937389350887641
pruned_50%,103.11199736595154,505.515625,0.32674574851989746,29.450000000000003,0.9917410578733225,0.9880626437411018,0.997016244888938,0.9925192519251925,0.9911611286456014
pruned_60%,103.33229660987854,526.12109375,0.348893404006958,36.55,0.9916803303576851,0.9953312583370387,0.9895016023870041,0.9924078692158492,0.9919198494544887
pruned_70%,98.08201241493225,547.84375,0.3739147186279297,30.549999999999997,0.9923483330296957,0.9897903172686354,0.9963531881975909,0.9930609097918273,0.9919080581052662
pruned_80%,96.16041016578674,568.96484375,0.3992311954498291,39.7,0.9938057934049918,0.9960084266548398,0.9927063763951818,0.994354660172681,0.9939266581355796
pruned_90%,97.65310907363892,546.21484375,0.4227406978607178,34.55,0.9901014149511144,0.9946559786239145,0.987291413415847,0.9909600133104098,0.9904103332919084
adaptive_pruned,98.96487593650818,337.62890625,0.29142189025878906,25.1,0.9914374202951357,0.9936821103968078,0.9907172063211405,0.9921974434176305,0.9915165972290523
