Model,Precision,Recall,F1-Score,ROC AUC,Pruning Percentage
baseline,0.9923857868020304,0.9938114708807604,0.993098117166363,0.9922548861548584,0.0
pruned_10%,0.9931635240930644,0.9953586031605702,0.9942598520808036,0.993500277584599,10.0
pruned_20%,0.9932737898334988,0.995469112609128,0.9943702395407882,0.9936229359217116,20.0
pruned_30%,0.9914125289001432,0.9951375842634546,0.9932715640855946,0.9923113103307027,30.0
pruned_40%,0.9938230752261196,0.9956901315062436,0.9947557272978196,0.9940704634344376,40.0
pruned_50%,0.9950964003120472,0.9867388661730578,0.9909000110975474,0.9904036741218484,50.0
pruned_60%,0.9944635145609568,0.992485357498066,0.9934734513274336,0.9928724981073508,60.0
pruned_70%,0.9945826423438364,0.994142999226434,0.9943627721896762,0.9937687225843682,70.0
pruned_80%,0.9927184466019418,0.9943640181235496,0.99354055098548,0.992733370614754,80.0
pruned_90%,0.987206352707621,0.9891700740413304,0.9881872378008392,0.9867662179319622,90.0
